abstract_id,relation_id,entity_a_id,entity_b_id,type,novel,sentence,url,Assigned to,True type,True relation,yes For LitCoin,To be studied relation (Y) or title specific (T),Relation word,Relation word 2,"QC (C:correct, W: wrong, Q:qestionable)",ent1 select,ent2 select,Note,3,agree with our labeling,check,Note_from_annotation
1353340,0,D007966,410,Association,FALSE,We report on a new allele at the <ENT2>arylsulfatase A</ENT2> (<ENT2>ARSA</ENT2>) locus causing late-onset <ENT1>metachromatic leukodystrophy</ENT1> (<ENT1>MLD</ENT1>).,,,,T,,,,,c,,,"11,12,21,22",,1.0,,
1353340,0,D007966,410,Association,FALSE,"In contrast to alleles that cause early-onset <ENT1>MLD</ENT1>, the arginine84 to glutamine substitution is associated with some residual <ENT2>ARSA</ENT2> activity.",,,,T,,,,,c,,,,,0.0,,
1353340,0,D007966,410,Association,FALSE,"A comparison of genotypes, <ENT2>ARSA</ENT2> activities, and clinical data on 4 individuals carrying the allele of 81 patients with <ENT1>MLD</ENT1> examined, further validates the concept that different degrees of residual <ENT2>ARSA</ENT2> activity are the basis of phenotypical variation in <ENT1>MLD</ENT1>..",,,,T,,,,,c,,,,,0.25,,
1353340,1,D007966,rs74315458,Positive_Correlation,TRUE,"In contrast to alleles that cause early-onset <ENT1>MLD</ENT1>, the <ENT2>arginine84 to glutamine</ENT2> substitution is associated with some residual ARSA activity.",,,,T,,,,,c,,,,,0.0,,
1671881,4,D010661,5053,Association,FALSE,<ENT1>Classical phenylketonuria</ENT1> is an autosomal recessive disease caused by a deficiency of hepatic phenylalanine hydroxylase (<ENT2>PAH</ENT2>).,,,,T,,,,,c,,,,,1.0,,
1671881,5,OMIM:261600,5053,Negative_Correlation,FALSE,Classical phenylketonuria is an autosomal recessive disease caused by a <ENT1>deficiency of hepatic phenylalanine hydroxylase</ENT1> (<ENT2>PAH</ENT2>).,,,,T,,,,,c,,,,,0.0,,
1848636,9,D007008,D013726,Positive_Correlation,FALSE,The drug effect studied was the antagonism by metoprolol of <ENT2>terbutaline</ENT2>-induced <ENT1>hypokalemia</ENT1>.,,,,T,,,,,c,,,,,1.0,,
1848636,13,D007008,D008790,Negative_Correlation,FALSE,The drug effect studied was the antagonism by <ENT2>metoprolol</ENT2> of terbutaline-induced <ENT1>hypokalemia</ENT1>.,,,,T,,,,,c,,,,,1.0,,
1848636,10,D013034,D008790,Association,FALSE,The metabolism of the cardioselective beta-blocker <ENT2>metoprolol</ENT2> is under genetic control of the debrisoquine/<ENT1>sparteine</ENT1> type.,,,,T,,,,,c,,,,,1.0,,
1848636,8,153,D008790,Negative_Correlation,FALSE,"The two metabolic phenotypes, extensive (EM) and poor metabolizers (PM), show different stereoselective metabolism, resulting in apparently higher <ENT1>beta-1 adrenoceptor</ENT1> antagonistic potency of racemic <ENT2>metoprolol</ENT2> in EMs.",,,,T,,,,,c,,,,,1.0,,
1848636,12,D013726,D008790,Positive_Correlation,TRUE,The drug effect studied was the antagonism by <ENT2>metoprolol</ENT2> of <ENT1>terbutaline</ENT1>-induced hypokalemia.,,,,T,Y,,,,c,,,,,1.0,,
1848636,12,D013726,D008790,Positive_Correlation,TRUE,Six EMs received 0.5 mg of <ENT1>terbutaline</ENT1> s.c. on two different occasions: 1) 1 hr after administration of a placebo and 2) 1 hr after 150 mg of <ENT2>metoprolol</ENT2> p.o.,,,,T,,,,,c,,,,,1.0,,
1848636,12,D013726,D008790,Positive_Correlation,TRUE,"Blood samples for the analysis of plasma potassium, <ENT1>terbutaline</ENT1>, <ENT2>metoprolol</ENT2> (racemic, R- and S-isomer), and alpha-hydroxymetoprolol concentrations were taken at regular time intervals, during 8 hr after <ENT2>metoprolol</ENT2>.",,,,T,,,,,c,,,,,1.0,,
1848636,12,D013726,D008790,Positive_Correlation,TRUE,"In PMs, <ENT2>metoprolol</ENT2> increased the <ENT1>terbutaline</ENT1> area under the plasma concentration vs. time curve (+67%).",,,,T,,,,,c,,,,,1.0,,
1848636,11,D008790,D003647,Association,FALSE,<ENT2>Debrisoquine</ENT2> phenotype and the pharmacokinetics and beta-2 receptor pharmacodynamics of <ENT1>metoprolol</ENT1> and its enantiomers.,,,,T,,,,,c,,,,,0.0,,
1848636,11,D008790,D003647,Association,FALSE,The metabolism of the cardioselective beta-blocker <ENT1>metoprolol</ENT1> is under genetic control of the <ENT2>debrisoquine</ENT2>/sparteine type.,,,,T,,,,,c,,,,,1.0,,
1848636,14,D008790,154,Negative_Correlation,TRUE,Debrisoquine phenotype and the pharmacokinetics and <ENT2>beta-2 receptor</ENT2> pharmacodynamics of <ENT1>metoprolol</ENT1> and its enantiomers.,,,,T,,,,,c,,,,,1.0,,
1848636,14,D008790,154,Negative_Correlation,TRUE,We investigated if the latter also applies to the <ENT2>beta-2 adrenoceptor</ENT2> antagonism by <ENT1>metoprolol</ENT1>.,,,,T,,,,,c,,,,,0.0,,
2422478,15,D008750,D007022,Positive_Correlation,TRUE,Midline B3 serotonin nerves in rat medulla are involved in <ENT2>hypotensive</ENT2> effect of <ENT1>methyldopa</ENT1>.,,,,T,,,,,w,,,,,1.0,,
2422478,15,D008750,D007022,Positive_Correlation,TRUE,Previous experiments in this laboratory have shown that microinjection of <ENT1>methyldopa</ENT1> onto the ventrolateral cells of the B3 serotonin neurons in the medulla elicits a <ENT2>hypotensive</ENT2> response mediated by a projection descending into the spinal cord.,,,,T,,,,,c,,,,,1.0,,
2422478,15,D008750,D007022,Positive_Correlation,TRUE,"In spontaneously hypertensive, stroke-prone rats, microinjection of <ENT1>methyldopa</ENT1> into the area of the midline B3 serotonin cell group in the ventral medulla caused a potent <ENT2>hypotension</ENT2> of 30-40 mm Hg, which was maximal 2-3 h after administration and was abolished by the serotonin neurotoxin 5,7-dihydroxytryptamine (5,7-DHT) injected intracerebroventricularly.",,,,T,,,,,c,,,,,1.0,,
